brand_name,product_description,full_price,discount_price,avg_rating,number_of_rating,image_url,product_details,available_option
Polaroid,Polaroid Now Bundle with Black Camera and Red Travel Pouch,99.99,79.95,4.3,63.0,"https://i5.walmartimages.com/seo/Polaroid-Now-Bundle-with-Black-Camera-and-Red-Travel-Pouch_3b86793f-4afc-4cd6-a805-e14445258cd9.9716284d97436f5614370f3c145e3178.png?odnHeight=117&odnWidth=117&odnBg=FFFFFF', 'https://i5.walmartimages.com/seo/Polaroid-Now-Bundle-with-Black-Camera-and-Red-Travel-Pouch_3b86793f-4afc-4cd6-a805-e14445258cd9.9716284d97436f5614370f3c145e3178.png?odnHeight=640&odnWidth=640&odnBg=FFFFFF",,
Google,"Nest Camera (outdoor or indoor, battery) 1pk White",180.0,148.95,4.4,394.0,,,"selected, White, $148.95$148.95"
Tri-State Camera,Canon IXY 650 / Elph 360 Digital Camera (Black),0.0,0.0,3.0,2.0,,,
Ricoh,"Ricoh GR IIIx Digital Compact Camera - Black, 24MP APS-C CMOS Sensor, 26.1mm F2.8 GR Lens, Supports SD Memory Card",0.0,0.0,0.0,0.0,,,
Visit the Canon Store,Canon PowerShot SX540 HS Digital Camera (1067C001) with Accessory Bundle package deal 'SanDisk 32gb SD card + Deluxe Cleaning Kit + 12' Tripod + MORE,0.0,0.0,4.0,6.0,,,
IUYT6,IUYT6 Digital Cameras 2.8-inch 4800W High-definition Large Screen 8X Digital Zoom Capables Of Photos Small Digital Motion Cameras Daily Gifts,0.0,0.0,0.0,0.0,,,"selected, Dark Gray, $40.99$40.99', 'Light Blue, $40.99$40.99', 'Pink, $41.99$41.99', 'Purple, $40.99$40.99"
IUYT6,IUYT6 Digital Cameras 2.8-inch 4800W High-definition Large Screen 8X Digital Zoom Capables Of Photos Small Digital Motion Cameras Daily Gifts,0.0,0.0,0.0,0.0,,,"Dark Gray, $40.99$40.99', 'selected, Light Blue, $40.99$40.99', 'Pink, $41.99$41.99', 'Purple, $40.99$40.99"
IUYT6,IUYT6 Digital Cameras 2.8-inch 4800W High-definition Large Screen 8X Digital Zoom Capables Of Photos Small Digital Motion Cameras Daily Gifts,0.0,0.0,0.0,0.0,,,"Dark Gray, $40.99$40.99', 'Light Blue, $40.99$40.99', 'selected, Pink, $41.99$41.99', 'Purple, $40.99$40.99"
IUYT6,IUYT6 Digital Cameras 2.8-inch 4800W High-definition Large Screen 8X Digital Zoom Capables Of Photos Small Digital Motion Cameras Daily Gifts,0.0,0.0,0.0,0.0,,,"Dark Gray, $40.99$40.99', 'Light Blue, $40.99$40.99', 'Pink, $41.99$41.99', 'selected, Purple, $40.99$40.99"
Visit the Canon Store,"Canon PowerShot Digital Camera [G7 X Mark II  with Wi-Fi & NFC, LCD Screen, and 1-inch Sensor - Black",0.0,0.0,3.7,20.0,,,"selected, Black, $1,198.00$1,198.00', 'Black w/ Pro Bundle, $1,584.95$1,584.95$566.05/ea"
Visit the Canon Store,"Canon PowerShot G7 X Mark II Digital Camera (1066C001), 64GB Memory Card, Card Reader, Deluxe Soft Bag, Flex Tripod, Hand Strap, Memory Wallet, Cleaning Kit (International Model)",0.0,0.0,3.7,20.0,,,"Black, $1,198.00$1,198.00', 'selected, Black w/ Pro Bundle, $1,584.95$1,584.95$566.05/ea"
Visit the Sony Store,"Sony Alpha ILCE-7M4 33 Megapixel Mirrorless Camera Body Only, Black",0.0,0.0,4.2,21.0,,,"selected, Black, $1,849.99$1,849.99', 'Black Starter Kit 2, $2,488.00$2,488.00', 'Black Starter Kit 3, $2,758.00$2,758.00', 'Black Starter Kit 4, $2,799.00See more seller options', 'Black Starter Kit 5, $2,479.00$2,479.00"
Visit the Sony Store,"Sony a7 IV Mirrorless Camera with 28-70mm Lens Bundled Kit + Accessory Package with LED Video Light, HD Filters, 64GB Extreme SD, Case, & Editing Software Package",0.0,0.0,4.2,21.0,,,"Black, $1,849.99$1,849.99', 'selected, Black Starter Kit 2, $2,488.00$2,488.00', 'Black Starter Kit 3, $2,758.00$2,758.00', 'Black Starter Kit 4, $2,799.00See more seller options', 'Black Starter Kit 5, $2,479.00$2,479.00"
