brand_name,product_description,full_price,discount_price,avg_rating,number_of_rating,image_url,product_details,available_option
MOFII,"Mofii 666 Wireless Keyboard Mouse Combo,2.4G Colored keyboard ,110 Key Cute Keyboard Mouse Set with Round Punk Keycaps for Girl Blue",92.08,24.99,3.8,85.0,,,"Black, $24.99$24.99', 'selected, Blue, $24.99$24.99', 'Green, $23.99$23.99', 'Light Brown, $24.99$24.99', 'Pink, $24.99$24.99', 'Purple, $24.99$24.99"
ammoon,"666 Wireless Keyboard Mouse Combo,2.4G Colored keyboard ,110 Key Cute Keyboard Mouse Set with Round Punk Keycaps for Girl Green",99.01,23.99,3.8,85.0,,,"Black, $24.99$24.99', 'Blue, $24.99$24.99', 'selected, Green, $23.99$23.99', 'Light Brown, $24.99$24.99', 'Pink, $24.99$24.99', 'Purple, $24.99$24.99"
MOFII,"Mofii 666 Wireless Keyboard Mouse Combo,2.4G Colored keyboard ,110 Key Cute Keyboard Mouse Set with Round Punk Keycaps for Girl Light Brown",92.08,24.99,3.8,85.0,,,"Black, $24.99$24.99', 'Blue, $24.99$24.99', 'Green, $23.99$23.99', 'selected, Light Brown, $24.99$24.99', 'Pink, $24.99$24.99', 'Purple, $24.99$24.99"
ROCCAT,ROCCAT Magma Silent Membrane Switch PC Gaming Keyboard with 5 Zone/10 LED AIMO RGB Top Plate and Detachable Palm Rest - Black,0.0,0.0,4.8,21.0,,,
Visit the RaceGT Store,"Gaming Keyboard, RaceGT Wired Mechanical Feel Membrane Computer Keyboard, 104 Keys Full Size Gaming Keyboard Rainbow Backlit LED Splash-Proof Design for PC, Wrist Rest",28.99,19.99,4.6,72.0,,,
Visit the Starfavor Store,"Starfavor SP-15F Folding Piano, 88 Key Full Size Semi Weighted Electronic Keyboard Travel Piano for Beginner with Bluetooth, Stand, Carrying Bag(Black) Gift for Holiday Birthday",169.99,145.99,4.0,5.0,,,
Visit the Razer Store,"Razer BlackWidow V4 X Mechanical Gaming Keyboard, Razer Chroma RGB, Black",129.99,109.98,4.7,30.0,,,
Visit the Razer Store,"Razer Huntsman Mini 60% Gaming Keyboard, Classic Black",0.0,0.0,4.9,33.0,,,
Visit the Ktaxon Store,"Ktaxon 88 Key Digital Piano Full Size Semi-Weighted Standard Keyboards, Portable Electric Piano with Stand, MIDI Bluetooth, Triple Pedals, Headphone, Wood",0.0,0.0,5.0,1.0,,,"selected, Brown, $139.99$139.99', 'Light Brown, $139.99, Out of stock$139.99"
Visit the Ktaxon Store,"Ktaxon 88 Key Digital Piano Full Size Semi-Weighted Standard Keyboards, Portable Electric Piano with Stand, MIDI Bluetooth, Triple Pedals, Headphone, Light Wood",0.0,0.0,5.0,1.0,,,"Brown, $139.99$139.99', 'selected, Light Brown, $139.99, Out of stock$139.99"
Apple,Apple Magic Keyboard with Numeric Keypad - US English,0.0,0.0,4.5,102.0,,,"selected, Silver, $128.39$128.39', 'Space gray, $149.00, Out of stock$149.00"
Apple,Apple Magic Keyboard with Numeric Keypad - US English - Space Gray,0.0,0.0,4.5,102.0,,,"Silver, $128.39$128.39', 'selected, Space gray, $149.00, Out of stock$149.00"
Visit the Logitech Store,Logitech WIRELESS TOUCH KEYBOARD K400 PLUS,39.99,26.99,4.2,163.0,"https://i5.walmartimages.com/seo/Logitech-WIRELESS-TOUCH-KEYBOARD-K400-PLUS_7a1ae3c9-33db-493e-9f33-954c17266fa4_1.79127f691eb52c1a8fc810ce6b68e967.jpeg?odnHeight=117&odnWidth=117&odnBg=FFFFFF', 'https://i5.walmartimages.com/seo/Logitech-WIRELESS-TOUCH-KEYBOARD-K400-PLUS_7a1ae3c9-33db-493e-9f33-954c17266fa4_1.79127f691eb52c1a8fc810ce6b68e967.jpeg?odnHeight=640&odnWidth=640&odnBg=FFFFFF",,
Visit the Logitech Store,"Logitech Keys-To-Go Super-Slim and Super-Light Bluetooth Keyboard for iPhone, iPad, and Apple TV, Black",69.99,48.84,4.2,46.0,,,"selected, Black, $48.84Black$48.8481.4 ¢/ea', 'Red, $99.99Red$99.99$99.99/1', 'Teal, $99.99Teal$99.99"
Visit the Logitech Store,Logitech Keys-To-Go - Keyboard - Bluetooth - waterproof - red,0.0,0.0,4.2,46.0,,,"Black, $48.84Black$48.8481.4 ¢/ea', 'selected, Red, $99.99Red$99.99$99.99/1', 'Teal, $99.99Teal$99.99"
Visit the Logitech Store,Logitech - Keys-To-Go Portable Keyboard for all Apple® iOS Devices - Teal,0.0,0.0,4.2,46.0,,,"Black, $48.84Black$48.8481.4 ¢/ea', 'Red, $99.99Red$99.99$99.99/1', 'selected, Teal, $99.99Teal$99.99"
suzzusa,USB 2.0 Mini Multimedia Wired Keyboard 78 Keys For Notebook PC,0.0,0.0,0.0,0.0,,,"selected, One Size, $13.05One Size$13.05"
ATTACK SHARK,"ATTACK SHARK K86 Wireless Mechanical Keyboard 75% with TFT Color Display & Knob Apex Pro TKL, 2.4G/Bluetooth/USB-C Wired RGB Backlit, Hot Swappable",0.0,0.0,0.0,0.0,,,"selected, Business Grey, $58.99$58.99', 'Lavender Blue, $58.99$58.99', 'Retro Blue, $58.99$58.99"
